CAR_ID,DefectID,SupplierID,OpenDate,DueDate,CloseDate,Status,OwnerID,ActionDescription,VerificationStatus
CAR000116,DFT000570,SUP075,2024-11-07,2024-11-21,,Overdue,EMP0051,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000117,DFT000572,SUP029,2026-03-05,2026-04-04,2026-04-02,Closed,EMP0127,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000118,DFT000583,SUP016,2024-12-20,2025-01-19,,Overdue,EMP0156,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000119,DFT000587,SUP024,2025-07-28,2025-08-11,2025-08-07,Closed,EMP0043,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000120,DFT000592,SUP097,2025-10-20,2025-11-03,,In Progress,EMP0172,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000121,DFT000601,SUP062,2026-05-30,2026-07-29,2026-07-19,Closed,EMP0041,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000122,DFT000602,SUP062,2026-05-30,2026-06-29,,Open,EMP0068,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000123,DFT000630,SUP050,2026-06-03,2026-07-03,,In Progress,EMP0172,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000124,DFT000631,SUP077,2024-10-07,2024-11-21,,In Progress,EMP0043,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000125,DFT000635,SUP048,2026-04-04,2026-05-19,,In Progress,EMP0057,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000126,DFT000645,SUP077,2025-02-08,2025-03-10,,In Progress,EMP0003,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000127,DFT000648,SUP018,2024-11-21,2024-12-05,,In Progress,EMP0022,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000128,DFT000654,SUP003,2025-09-30,2025-11-29,2025-11-25,Closed,EMP0066,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000129,DFT000657,SUP040,2026-01-26,2026-03-12,,Overdue,EMP0046,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000130,DFT000660,SUP015,2025-06-07,2025-06-21,,Overdue,EMP0040,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000131,DFT000662,SUP079,2026-01-28,2026-02-11,2026-02-02,Closed,EMP0027,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000132,DFT000664,SUP085,2025-02-26,2025-04-12,,Open,EMP0126,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000133,DFT000665,SUP085,2025-02-26,2025-03-12,2025-03-07,Closed,EMP0102,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000134,DFT000667,SUP002,2025-02-05,2025-04-06,2025-03-10,Closed,EMP0009,"Investigate minor defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000135,DFT000670,SUP080,2024-08-03,2024-09-02,2024-08-23,Closed,EMP0116,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000136,DFT000673,SUP004,2024-10-06,2024-11-05,,In Progress,EMP0066,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000137,DFT000676,SUP049,2025-08-14,2025-09-28,,In Progress,EMP0045,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000138,DFT000678,SUP057,2024-12-01,2025-01-15,,In Progress,EMP0107,"Investigate minor defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000139,DFT000680,SUP041,2024-12-06,2025-02-04,,In Progress,EMP0156,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000140,DFT000684,SUP008,2025-08-16,2025-08-30,2025-08-27,Closed,EMP0060,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000141,DFT000685,SUP037,2024-12-14,2024-12-28,,In Progress,EMP0080,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000142,DFT000686,SUP029,2026-02-18,2026-03-04,2026-02-28,Closed,EMP0080,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000143,DFT000687,SUP040,2025-03-28,2025-05-12,,Overdue,EMP0162,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000144,DFT000692,SUP063,2026-03-14,2026-03-28,2026-03-25,Closed,EMP0076,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000145,DFT000694,SUP065,2025-06-10,2025-07-25,2025-07-05,Closed,EMP0195,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Rejected
CAR000146,DFT000700,SUP015,2025-11-20,2025-12-04,,Open,EMP0079,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000147,DFT000701,SUP010,2025-09-09,2025-09-23,2025-09-19,Closed,EMP0163,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000148,DFT000702,SUP015,2025-02-11,2025-03-28,,Open,EMP0021,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000149,DFT000709,SUP008,2026-04-25,2026-06-09,,Open,EMP0022,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000150,DFT000713,SUP079,2024-09-14,2024-09-28,,In Progress,EMP0051,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000151,DFT000718,SUP041,2025-05-27,2025-06-10,2025-06-04,Closed,EMP0051,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000152,DFT000720,SUP024,2026-01-04,2026-02-03,,In Progress,EMP0020,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000153,DFT000725,SUP017,2026-04-05,2026-06-04,2026-05-10,Closed,EMP0028,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000154,DFT000729,SUP097,2025-09-02,2025-10-02,,Overdue,EMP0043,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000155,DFT000733,SUP038,2025-01-05,2025-03-06,,In Progress,EMP0127,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000156,DFT000735,SUP077,2026-06-09,2026-06-23,2026-06-20,Closed,EMP0129,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000157,DFT000738,SUP007,2025-10-24,2025-12-08,2025-11-30,Closed,EMP0159,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Rejected
CAR000158,DFT000739,SUP093,2025-02-21,2025-04-07,,Overdue,EMP0044,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000159,DFT000740,SUP037,2025-04-30,2025-06-14,2025-05-25,Closed,EMP0194,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000160,DFT000747,SUP049,2025-11-03,2025-12-18,,In Progress,EMP0079,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000161,DFT000749,SUP061,2026-04-24,2026-05-24,,In Progress,EMP0011,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000162,DFT000752,SUP023,2025-08-26,2025-10-25,,Open,EMP0078,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000163,DFT000755,SUP097,2024-10-09,2024-11-23,2024-11-08,Closed,EMP0111,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000164,DFT000773,SUP061,2025-03-20,2025-04-19,,In Progress,EMP0184,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000165,DFT000779,SUP075,2026-01-19,2026-03-20,2026-02-08,Closed,EMP0089,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000166,DFT000787,SUP042,2025-07-18,2025-09-01,,Overdue,EMP0006,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000167,DFT000788,SUP056,2025-05-01,2025-05-15,2025-05-09,Closed,EMP0134,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Verified
CAR000168,DFT000790,SUP015,2025-01-05,2025-02-19,,In Progress,EMP0169,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
CAR000169,DFT000795,SUP022,2024-09-13,2024-10-28,2024-09-29,Closed,EMP0162,"Investigate critical defect, identify root cause, implement corrective action, and verify effectiveness.",Rejected
CAR000170,DFT000802,SUP070,2025-03-29,2025-04-28,,In Progress,EMP0068,"Investigate major defect, identify root cause, implement corrective action, and verify effectiveness.",Pending
